Index,Region,Area,Asaltos,Poblacion,
1769,Canterbury Region,Port Levy,0,80,
1770,Tasman Region,Richmond Hill,0,80,
1771,West Coast Region,Point Elizabeth,0,80,
1772,Bay of Plenty Region,Tauranga City-Marinas,0,80,
1773,Auckland Region,Kawau,0,80,
1774,Canterbury Region,Duntroon,0,90,
1775,Nelson Region,Port Nelson,0,90,
1776,Waikato Region,Rangatira,0,90,
1777,Tasman Region,Best Island,0,100,
1778,Otago Region,Nenthorn,0,110,
1779,Bay of Plenty Region,Maraetotara,0,110,
1780,Otago Region,Naseby,0,120,
1781,West Coast Region,Waitaha,0,120,
1782,West Coast Region,Inangahua Junction,0,130,
1783,Otago Region,Middlemarch,0,140,
1784,Auckland Region,Matheson Bay,0,140,
1785,Wellington Region,Paekakariki Hill,0,150,
1786,West Coast Region,Mokihinui,0,150,
1787,Manawatu-Wanganui Region,Mangaweka,0,150,
1788,Manawatu-Wanganui Region,Whangamomona,0,150,
1789,Otago Region,Sandymount,0,170,
1790,West Coast Region,Arnold Valley,0,170,
1791,Waikato Region,Burbush,0,170,
1792,Waikato Region,Arahiwi,0,180,
1793,Northland Region,Kohukohu,0,180,
1794,Canterbury Region,St Andrews,0,190,
1795,Canterbury Region,Otematata,0,190,
1796,West Coast Region,Maruia,0,190,
1797,West Coast Region,Atarau,0,190,
1798,Wellington Region,Horokiwi,0,190,
1799,Manawatu-Wanganui Region,National Park,0,190,
1800,Southland Region,Bay Road West,0,200,
1801,Wellington Region,Moonshine Valley,0,200,
1802,Waikato Region,Omori,0,200,
1803,Canterbury Region,Mt Cook,0,210,
1804,Canterbury Region,Silverstream,0,210,
1805,Waikato Region,Allen Road,0,210,
1806,Waikato Region,Tokaanu,0,210,
1807,Otago Region,Pukeuri,0,220,
1808,Southland Region,Mossburn,0,220,
1809,West Coast Region,Hector-Ngakawau,0,220,
1810,West Coast Region,Little Wanganui,0,220,
1811,Manawatu-Wanganui Region,Tangimoana,0,220,
1812,West Coast Region,Granity,0,230,
1813,Wellington Region,Resolution,0,240,
1814,West Coast Region,Barrytown,0,240,
1815,Hawke's Bay Region,Whanawhana,0,240,
1816,Taranaki Region,Midhirst,0,240,
1817,Auckland Region,Oratia West,0,240,
1818,Waikato Region,Taharoa,0,250,
1819,Taranaki Region,Rahotu,0,250,
1820,Waikato Region,Motuoapa,0,250,
1821,Waikato Region,Opuawhanga,0,250,
1822,Waikato Region,Pukeoware,0,250,
1823,Otago Region,Kingston South,0,260,
1824,Canterbury Region,Mcleans Island,0,260,
1825,Bay of Plenty Region,Matakana Island,0,260,
1826,Auckland Region,Paparata,0,260,
1827,Southland Region,Woodlands,0,280,
1828,Otago Region,Aramoana,0,280,
1829,Northland Region,Opua West,0,280,
1830,Otago Region,Clinton,0,290,
1831,Waikato Region,Kuratau,0,290,
1832,Otago Region,Owaka,0,300,
1833,Southland Region,Ohai,0,300,
1834,West Coast Region,Blackball,0,300,
1835,West Coast Region,Kumara,0,300,
1836,Manawatu-Wanganui Region,Ohakea,0,310,
1837,West Coast Region,Kaiata,0,310,
1838,Canterbury Region,Kurow,0,320,
1839,Otago Region,Stirling,0,320,
1840,Otago Region,Cape Wanbrow,0,320,
1841,Waikato Region,Waitoa,0,320,
1842,Otago Region,Wyllies Crossing,0,330,
1843,West Coast Region,Inangahua Valley,0,330,
1844,Hawke's Bay Region,Maungataniwha,0,330,
1845,West Coast Region,Charleston,0,340,
1846,Wellington Region,Takapu,0,340,
1847,Manawatu-Wanganui Region,Putiki,0,340,
1848,West Coast Region,Harihari,0,350,
1849,Manawatu-Wanganui Region,Ratana Community,0,360,
1850,Otago Region,Karitane,0,370,
1851,Otago Region,Company Bay,0,370,
1852,Gisborne Region,Patutahi,0,370,
1853,Southland Region,Bushy Point,0,380,
1854,Canterbury Region,Ashburton North,0,380,
1855,Wellington Region,Peka Peka,0,380,
1856,Auckland Region,Mahurangi,0,390,
1857,Otago Region,Kakanui,0,400,
1858,Otago Region,Glenorchy,0,410,
1859,Wellington Region,Miramar West,0,410,
1860,Wellington Region,Tuturumuri,0,410,
1861,Marlborough Region,Fairhall,0,410,
1862,West Coast Region,Marsden-Hohonu,0,410,
1863,Wellington Region,Woburn South,0,420,
1864,Auckland Region,Point Wells,0,420,
1865,Otago Region,Strath Taieri,0,430,
1866,Bay of Plenty Region,Kaingaroa Forest,0,430,
1867,Marlborough Region,Wairau North,0,440,
1868,Taranaki Region,Waingongoro,0,440,
1869,Waikato Region,Te Rore,0,450,
1870,Canterbury Region,Banks Peninsula Eastern Bays,0,460,
1871,Otago Region,Matukituki,0,460,
1872,Waikato Region,Kerepehi,0,460,
1873,Marlborough Region,Woodbourne,0,470,
1874,Canterbury Region,Courtenay,0,470,
1875,Canterbury Region,Cust,0,470,
1876,Waikato Region,Maunganamu,0,470,
1877,Auckland Region,Kaukapakapa,0,470,
1878,Northland Region,Ruawai,0,470,
1879,Auckland Region,Leigh,0,470,
1880,Auckland Region,Armour Bay,0,490,
1881,Canterbury Region,Pines-Kairaki Beach,0,500,
1882,Waikato Region,Wharewaka,0,500,
1883,Waikato Region,Te Kawa,0,500,
1884,Northland Region,North Cape,0,500,
1885,West Coast Region,Buller Coalfields,0,510,
1886,Wellington Region,Taitville,0,510,
1887,Manawatu-Wanganui Region,Owahanga,0,510,
1888,Canterbury Region,Dunsandel,0,530,
1889,Marlborough Region,Seddon,0,540,
1890,Nelson Region,Glenduan,0,540,
1891,Manawatu-Wanganui Region,Sunshine-Hospital Hill,0,540,
1892,Southland Region,Wyndham,0,550,
1893,Otago Region,Waldronville,0,550,
1894,Canterbury Region,Mairaki,0,550,
1895,Waikato Region,Kinloch,0,550,
1896,Taranaki Region,Bowden,0,560,
1897,Bay of Plenty Region,Waimana,0,560,
1898,Gisborne Region,Matokitoki,0,560,
1899,Taranaki Region,Okaiawa,0,560,
1900,Auckland Region,Birdwood West,0,560,
1901,Canterbury Region,Fairview-Scarborough,0,570,
1902,Manawatu-Wanganui Region,Tokomaru,0,570,
1903,Wellington Region,Kaitawa,0,570,
1904,Gisborne Region,Manutuke,0,570,
1905,Manawatu-Wanganui Region,Halcombe,0,580,
1906,Taranaki Region,Ohangai,0,580,
1907,Hawke's Bay Region,Otane,0,580,
1908,Taranaki Region,Omata,0,590,
1909,Southland Region,Kaweku,0,600,
1910,Waikato Region,Lake Ngaroto,0,600,
1911,Area Outside Region,Chatham Islands,0,610,
1912,Canterbury Region,Akaroa,0,620,
1913,Bay of Plenty Region,Poroporo,0,620,
1914,Auckland Region,Parakai Rural,0,620,
1915,Canterbury Region,Plains Railway,0,630,
1916,Southland Region,Myross Bush,0,630,
1917,Taranaki Region,Egmont Village,0,630,
1918,Hawke's Bay Region,Raupunga,0,650,
1919,Auckland Region,Waitakere West,0,650,
1920,Manawatu-Wanganui Region,Moawhango,0,660,
1921,Otago Region,Glenleith,0,670,
1922,Canterbury Region,Okuku,0,680,
1923,West Coast Region,Dobson,0,690,
1924,Bay of Plenty Region,Athenree,0,700,
1925,Otago Region,Ardgowan,0,710,
1926,Canterbury Region,Kennedys Bush,0,720,
1927,Canterbury Region,Fairton,0,730,
1928,Auckland Region,Algies Bay,0,750,
1929,Otago Region,Tapanui,0,770,
1930,Wellington Region,Newlands East,0,780,
